price,open,max,min,diff_percent,quarter
70.05,70.05,70.05,70.05,5.02,1997Q1
88.6,88.6,88.6,88.6,-0.28,1997Q2
100.16,100.16,100.16,100.16,1.03,1997Q3
85.05,85.05,85.05,85.05,2.22,1997Q4
76.35,76.35,76.35,76.35,-2.0,1998Q1
35.89,35.89,35.89,35.89,-2.39,1998Q2
27.02,27.02,27.02,27.02,3.01,1998Q3
45.34,45.34,45.34,45.34,0.0,1998Q4
86.56,86.56,86.56,86.56,-2.92,1999Q1
131.64,131.64,131.64,131.64,1.07,1999Q2
87.13,87.13,87.13,87.13,-1.68,1999Q3
151.87,151.87,151.87,151.87,0.66,1999Q4
254.68,254.68,254.68,254.68,1.03,2000Q1
194.93,194.93,194.93,194.93,2.83,2000Q2
204.61,204.61,204.61,204.61,0.77,2000Q3
144.39,144.39,144.39,144.39,1.57,2000Q4
166.67,166.67,166.67,166.67,0.29,2001Q1
219.4,219.4,219.4,219.4,-1.43,2001Q2
167.33,167.33,167.33,167.33,1.14,2001Q3
237.63,237.63,237.63,237.63,0.59,2001Q4
302.96,302.96,302.96,302.96,1.17,2002Q1
304.18,304.18,304.18,304.18,1.45,2002Q2
289.96,289.96,289.96,289.96,-1.81,2002Q3
318.91,317.63,319.14,317.35,0.4,2002Q4
325.56,332.88,332.88,322.83,-2.2,2003Q1
455.44,451.02,455.44,451.02,0.98,2003Q2
515.17,516.03,520.54,514.04,-0.17,2003Q3
514.71,518.81,519.47,512.01,-0.79,2003Q4
644.64,635.74,648.31,635.68,1.4,2004Q1
534.84,528.56,538.2,526.35,1.19,2004Q2
611.03,605.56,613.56,605.56,0.9,2004Q3
552.22,546.55,552.68,545.59,1.04,2004Q4
598.04,591.14,598.63,590.94,1.17,2005Q1
639.98,630.27,642.26,630.08,1.54,2005Q2
892.5,879.19,895.21,879.19,1.51,2005Q3
1011.0,1010.11,1015.65,1009.11,0.09,2005Q4
1299.19,1295.72,1309.48,1288.9,0.25,2006Q1
1331.39,1292.25,1344.78,1292.2,3.03,2006Q2
1367.24,1368.09,1379.93,1351.19,-0.06,2006Q3
1693.47,1677.16,1698.44,1677.16,0.97,2006Q4
1698.08,1717.82,1730.36,1690.49,-1.15,2007Q1
1665.96,1669.7,1678.85,1656.73,-0.2,2007Q2
1759.44,1755.5,1763.33,1750.47,0.23,2007Q3
1888.86,1907.39,1907.39,1883.75,-0.97,2007Q4
1628.43,1634.45,1636.23,1608.23,0.03,2008Q1
